steps,calories,time,distance
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
10,0.0,0.0,0.0
10,0.0,0.0,0.0
12,0.0,0.0,0.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
18,0.0,0.0,0.0
18,0.0,0.0,0.0
20,0.0,0.0,0.0
20,0.0,0.0,0.0
20,1.0,1.0,0.0
20,1.0,1.0,0.0
20,1.0,1.0,0.0
20,1.0,1.0,0.0
20,1.0,1.0,0.0
28,1.0,1.0,0.0
28,1.0,1.0,0.0
30,1.0,1.0,0.0
32,1.0,1.0,0.0
36,1.0,1.0,0.0
38,1.0,1.0,0.0
40,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
42,1.0,1.0,0.0
